RUA HOLANDA, 202 CURITIBA PR
RUA MATEUS LEME, 1310
RUA JOAO NEGRAO, 1251
RUA MARECHAL DEODORO, 298
AVENIDA WINSTON CHURCHILL, 2630
AVENIDA MANOEL RIBAS, 5631
AVENIDA REPUBLICA ARGENTINA, 1902
RUA PROFESSOR JOAO DOETZER, 531
AVENIDA GETULIO VARGAS, 3309
RUA AGUDOS DO SUL, 41
RUA AMINTAS DE BARROS, 627
RUA ALFERES ANGELO SAMPAIO, 1090
AVENIDA ANITA GARIBALDI, 3482
RUA AUGUSTO STRESSER, 1184
R DEP HEITOR ALENCAR FURTADO 1210 LJ 17, 1210
